County,Website,2020-03-23 Confirmed Cases,2020-03-24 Deaths,2020-03-24 Confirmed Cases,2020-03-25 Confirmed Cases,2020-03-25 Deaths,2020-03-25 Recovered,2020-03-25 Tests,2020-03-26 Confirmed Cases,2020-03-26 Deaths,2020-03-26 Recovered,2020-03-26 Tests,2020-03-27 Confirmed Cases,2020-03-27 Deaths,2020-03-27 Recovered,2020-03-27 Tests,2020-03-28 Confirmed Cases,2020-03-28 Deaths,2020-03-28 Recovered,2020-03-28 Tests,2020-03-30 Confirmed Cases,2020-03-30 Deaths,2020-03-30 Recovered,2020-03-30 Tests,13,Recovered 13,2020-03-31 Confirmed Cases,2020-03-31 Deaths,2020-03-31 Recovered,2020-03-31 Tests
Fresno,https://www.co.fresno.ca.us/departments/public-health/covid-19,0,0,13,18,0,0.0,18,19,0,0.0,18,20,0,0,18,24,0,0,18,24,0,0,18,0,0,24,0,0,18
Glenn,https://www.countyofglenn.net/dept/health-human-services/public-health/covid19,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,https://humboldtgov.org/2707/COVID-Test-Results,0,0,1,6,0,0.0,6,10,0,0.0,6,12,0,0,6,12,0,0,6,12,0,0,6,0,0,12,0,0,6
Imperial,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,0,0,6,9,0,0.0,9,9,0,0.0,124,17,0,0,142,21,0,0,170,99,0,0,170,0,0,99,0,0,170
Inyo,https://www.inyocounty.us/covid-19/local-updates,0,0,0,0,0,0.0,0,1,0,0.0,33,2,0,0,33,5,0,0,33,8,0,0,33,0,0,8,0,0,33
Kern,https://kernpublichealth.com/2019-novel-coronavirus/,0,0,15,15,0,0.0,15,28,0,0.0,952,35,0,0,1602,46,1,0,1915,74,1,0,2456,0,0,74,1,0,2456
Kings,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19/-fsiteid-1,0,0,0,0,0,0.0,0,0,0,0.0,77,1,0,0,85,1,0,0,88,2,0,0,89,0,0,2,0,0,89
Lake,http://health.co.lake.ca.us/Coronavirus.htm,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,33,0,0,0,33,0,0,0,33,0,0,0,0,0,33
Lassen,http://www.co.lassen.ca.us/dept/public-health/public-health,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Beach,http://www.longbeach.gov/health/diseases-and-condition/information-on/coronavirus/faq/,0,0,28,28,0,0.0,28,32,0,0.0,28,54,0,0,28,70,0,0,28,88,0,0,28,0,0,88,0,0,28
Los Angeles,http://publichealth.lacounty.gov/media/Coronavirus/locations.htm,0,0,466,634,0,0.0,634,1166,20,0.0,634,1166,20,0,634,1402,25,0,634,18,36,0,634,0,0,18,36,0,634
Madera,https://www.maderacounty.com/government/public-health/health-updates/corona-virus,0,0,0,6,0,1.0,6,7,0,1.0,6,10,0,0,6,11,0,0,6,15,0,0,6,0,0,15,0,0,6
Marin,https://coronavirus.marinhhs.org/,0,0,0,53,0,0.0,53,60,0,0.0,53,65,0,0,53,9,25,0,53,93,25,0,53,0,0,93,25,0,53
Mariposa,https://www.mariposacounty.org/1592/COVID-19-Information,0,0,0,0,0,0.0,0,0,0,0.0,28,0,0,0,37,0,0,0,40,0,Total Deaths:    0,0,41,0,0,0,Total Deaths:    0,0,41
Mendocino,https://www.mendocinocounty.org/community/novel-coronavirus,0,0,0,2,0,0.0,2,2,0,0.0,156,26,0,0,37,26,0,0,40,26,0,0,41,0,0,26,0,0,41
Merced,http://www.co.merced.ca.us/82/Public-Health,0,0,0,1,0,0.0,46,1,0,0.0,46,4,0,0,58,7,0,0,61,9,0,0,61,0,0,9,0,0,61
Modoc,https://modochealthservices.org/corona-virus,0,0,0,0,0,0.0,14,0,0,0.0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,0,0,14
Mono,https://coronavirus.monocounty.ca.gov/,0,0,0,4,0,0.0,60,4,0,0.0,62,6,0,0,66,6,0,0,66,6,0,0,66,0,0,6,0,0,66
Monterey,https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19,0,0,0,24,19,0.0,365,24,19,0.0,365,27,19,0,403,32,19,0,452,36,19,0,452,0,0,36,19,0,452
Napa,https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/,0,0,0,3,0,0.0,0,3,0,0.0,0,8,0,0,212,8,0,0,212,8,0,0,212,0,0,8,0,0,212
Nevada,https://www.mynevadacounty.com/2924/Coronavirus,0,0,0,4,0,0.0,0,4,0,0.0,0,8,0,0,0,12,0,0,0,18,0,0,0,0,0,18,0,0,0
Orange,https://occovid19.ochealthinfo.com/coronavirus-in-oc,0,0,0,152,1,0.0,2159,187,1,0.0,2442,256,1,0,3605,256,1,0,3605,431,4,0,3605,0,0,431,4,0,3605
Pasadena,https://www.cityofpasadena.net/public-health/news-announcements/information-on-covid-19/,0,0,0,7,0,0.0,0,9,0,0.0,0,10,0,0,0,10,0,0,0,25,0,0,0,0,0,25,0,0,0
Placer,https://www.placer.ca.gov/6448/Cases-in-Placer,0,0,0,30,1,0.0,0,30,1,0.0,0,30,1,0,0,30,1,0,0,53,2,0,0,0,0,53,2,0,0
Plumas,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,0,0,0,0,0,0.0,37,0,0,0.0,38,0,0,0,40,0,0,0,42,0,0,0,42,0,0,0,0,0,42
Riverside,https://www.rivcoph.org/coronavirus,0,0,0,70,7,0.0,0,107,8,0.0,0,151,8,0,0,185,8,0,0,291,9,0,0,0,0,291,9,0,0
San Benito,https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/,0,0,0,7,1,4.0,91,7,1,4.0,91,7,1,4,91,14,1,0,170,17,1,2,224,4,0,17,1,4,224
San Bernardino,http://wp.sbcounty.gov/dph/coronavirus/,0,0,0,50,1,0.0,0,2,8,0.0,0,55,3,0,0,55,3,0,0,55,3,0,0,0,0,55,3,0,0
San Diego,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html,0,0,0,242,2,0.0,0,297,2,0.0,0,341,3,0,0,417,5,0,0,519,7,0,0,0,0,519,7,0,0
San Francisco,https://www.sfdph.org/dph/alerts/coronavirus.asp,0,0,0,178,1,0.0,0,178,1,0.0,0,279,3,0,0,308,4,0,0,374,6,0,0,0,0,374,6,0,0
San Joaquin,http://www.sjcphs.org/coronavirus.aspx,0,0,0,66,2,0.0,0,77,3,0.0,0,85,3,0,0,101,4,0,0,123,6,0,0,0,0,123,6,0,0
San Luis Obispo,https://www.emergencyslo.org/en/positive-case-details.aspx,0,0,0,46,0,7,0,46,0,7,0,40,40,40,0,40,40,0,0,40,40,40,0,40,0,40,40,40,0
San Mateo,https://www.smchealth.org/coronavirus,0,0,0,165,5,0.0,0,165,5,0.0,0,239,6,0,0,274,6,0,0,309,6,0,0,0,0,309,6,0,0
Santa Barbara,https://publichealthsbc.org/status-reports/,0,0,0,24,0,0.0,493,24,0,0.0,493,26,0,0,493,26,0,0,493,26,0,6,493,6,0,26,0,6,493
Santa Clara,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx,0,0,0,459,17,0.0,0,459,17,0.0,0,459,17,0,0,574,20,0,0,848,28,0,0,0,0,848,28,0,0
Santa Cruz,http://www.santacruzhealth.com/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx,0,0,0,25,0,0.0,0,32,0,0.0,0,32,0,0,0,34,0,0,0,44,1,0,0,0,0,44,1,0,0
Shasta,https://www.co.shasta.ca.us/covid-19/overview,0,0,0,3,1,0.0,0,3,1,0.0,0,3,1,0,0,3,1,0,0,4,1,0,0,0,0,4,1,0,0
Sierra,http://sierracounty.ca.gov/582/Coronavirus-COVID-19,0,0,0,0,0,0.0,4, 0, 0,0.0,4, 0, 0,0,5, 0, 0,0,5, 0, 0,0,5,0,0, 0, 0,0,5
Siskiyou,http://www.co.siskiyou.ca.us/content/public-health-division,0,0,26,3,0,0.0,55,3,0,0.0,55,3,0,0,60,3,0,0,60,3,0 ,0,65,0,0,3,0 ,0,65
Solano,http://www.solanocounty.com/depts/ph/ncov.asp,0,0,26,31,0,0.0,0,31,0,0.0,0,31,0,0,0,31,0,0,0,31,0,0,0,0,0,31,0,0,0
Sonoma,https://socoemergency.org/,0,0,0,39,1,2,775,44,1,2,775,49,1,4,854,49,1,5,854,66,1,0,1551,13,Recovered 13,66,1,13,1551
Stanislaus,http://www.schsa.org/PublicHealth/pages/corona-virus/,0,0,0,12,0,0.0,487,17,0,0.0,670,23,0,0,806,23,0,0,806,31,0,0,994,0,0,31,0,0,994
Sutter,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus,0,0,2,2,0,0.0,0,5,0,0.0,0,3,0,0,0,2,0,0,0,7,0,0,348,0,0,7,0,0,348
Tehama,https://www.tehamacohealthservices.net/news-events/news/,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity,https://www.trinitycounty.org/Public-Health,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulare,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/,0,0,0,18,0,0.0,0,18,0,0.0,0,18,0,0,0,18,0,0,0,18,0,0,0,0,0,18,0,0,0
Tuolumne,https://www.tuolumnecounty.ca.gov/250/Public-Health,0,0,0,0,0,0.0,105,0,0,0.0,105,113,0,0,0,125,0,0,0,0,0,0,145,0,0,0,0,0,145
Ventura,https://www.vcemergency.com/,0,0,0,50,1,0.0,0,50,1,0.0,0,61,1,0,0,83,3,0,0,109,4,0,0,0,0,109,4,0,0
Yolo,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019,0,0,0,11,1,0.0,0,11,1,0.0,0,11,1,0,0,11,1,0,0,24,1,0,0,0,0,24,1,0,0
Yuba,https://www.yuba.org/coronavirus/,0,0,0,3,0,0.0,0,3,0,0.0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0
